"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2544","Ante la pandemia, sugieren trabajar conexión entre ciudades y salud","NULL","NULL","NULL","Inauguran coloquio, debate y taller “El futuro de las ciudades y los nuevos escenarios frente a las contingencias globales”","9072","NULL"
"2544","Ante la pandemia, sugieren trabajar conexión entre ciudades y salud","NULL","NULL","NULL","Inauguran coloquio, debate y taller “El futuro de las ciudades y los nuevos escenarios frente a las contingencias globales”","9073","NULL"
"2544","Ante la pandemia, sugieren trabajar conexión entre ciudades y salud","NULL","NULL","NULL","Inauguran coloquio, debate y taller “El futuro de las ciudades y los nuevos escenarios frente a las contingencias globales”","9074","NULL"
"2544","Ante la pandemia, sugieren trabajar conexión entre ciudades y salud","NULL","NULL","NULL","Inauguran coloquio, debate y taller “El futuro de las ciudades y los nuevos escenarios frente a las contingencias globales”","9075","NULL"
"2544","Ante la pandemia, sugieren trabajar conexión entre ciudades y salud","NULL","NULL","NULL","Inauguran coloquio, debate y taller “El futuro de las ciudades y los nuevos escenarios frente a las contingencias globales”","9076","NULL"
"2545","Pandemia ha acentuado problemas en distintos sectores de la diversidad sexual","NULL","NULL","NULL","Realizan webinar “Inclusión y diversidad en tiempos de pandemia”, a través de las redes sociales de UdeG, Radio Universidad y Canal 44 ","9077","NULL"
"2545","Pandemia ha acentuado problemas en distintos sectores de la diversidad sexual","NULL","NULL","NULL","Realizan webinar “Inclusión y diversidad en tiempos de pandemia”, a través de las redes sociales de UdeG, Radio Universidad y Canal 44 ","9078","NULL"
"2546","Enseñanza de la arquitectura, ante la “nueva normalidad”, a discusión","NULL","NULL","NULL","Plataformas como Google Classroom, Meet y Zoom, han sido las predilectas de muchos docentes del país para impartir clases a distancia","9079","NULL"
"2546","Enseñanza de la arquitectura, ante la “nueva normalidad”, a discusión","NULL","NULL","NULL","Plataformas como Google Classroom, Meet y Zoom, han sido las predilectas de muchos docentes del país para impartir clases a distancia","9080","NULL"
"2547","Encuestan a estudiantes de UdeG para conocer sus hábitos de lectura","NULL","NULL","NULL","Instituto Transdisciplinario de Literacidad planteará estrategias de enseñanza en las currículas, a partir de los resultados","9088","NULL"
