"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2498","UdeG ha apoyado con 7 mil despensas, mediante programa “Ayuda a que otros se queden en casa”","NULL","NULL","NULL","Instalan centros de acopio en todas las preparatorias de la UdeG en Jalisco para apoyar a afectados por contingencia sanitaria","8894","NULL"
"2499","Abre UdeG Laboratorio Covid-19 en Puerto Vallarta ","NULL","NULL","NULL","Se busca cortar la cadena de contagio en la Costa Norte de Jalisco y Sur de Nayarit, advierte el Rector General","8895","NULL"
"2499","Abre UdeG Laboratorio Covid-19 en Puerto Vallarta ","NULL","NULL","NULL","Se busca cortar la cadena de contagio en la Costa Norte de Jalisco y Sur de Nayarit, advierte el Rector General","8896","NULL"
"2500","Harán recomendaciones especialistas sobre aprendizaje de niñas y niños en tiempos de encierro","NULL","NULL","NULL","La cita es mañana 6 de mayo, a las 11:00 horas en el Webinar 5 que organiza la Universidad de Guadalajara","8900","NULL"
"2500","Harán recomendaciones especialistas sobre aprendizaje de niñas y niños en tiempos de encierro","NULL","NULL","NULL","La cita es mañana 6 de mayo, a las 11:00 horas en el Webinar 5 que organiza la Universidad de Guadalajara","8898","NULL"
"2500","Harán recomendaciones especialistas sobre aprendizaje de niñas y niños en tiempos de encierro","NULL","NULL","NULL","La cita es mañana 6 de mayo, a las 11:00 horas en el Webinar 5 que organiza la Universidad de Guadalajara","8899","NULL"
"2501","Anuncia UdeG estrategia de reactivación económica y economía solidaria","NULL","NULL","NULL","Crean la plataforma “Mercadito vecino” para que la población apoye a micro y pequeñas empresas en su colonia","8901","NULL"
"2501","Anuncia UdeG estrategia de reactivación económica y economía solidaria","NULL","NULL","NULL","Crean la plataforma “Mercadito vecino” para que la población apoye a micro y pequeñas empresas en su colonia","8902","NULL"
"2501","Anuncia UdeG estrategia de reactivación económica y economía solidaria","NULL","NULL","NULL","Crean la plataforma “Mercadito vecino” para que la población apoye a micro y pequeñas empresas en su colonia","8903","NULL"
"2501","Anuncia UdeG estrategia de reactivación económica y economía solidaria","NULL","NULL","NULL","Crean la plataforma “Mercadito vecino” para que la población apoye a micro y pequeñas empresas en su colonia","8904","NULL"
